"ID","Drone","Varroa","Day","Mo","Year","Geocluster","City_original","City_rename","State","Country","Latitude","Longitude","Other_obs","Weather","Collector","Beekeeper","S_sample","S_site"
"330771_B","","Unknown",13,5,1992,"WEL","WELDER","","TEXAS","USA",NA,NA,"STATION 1 TRAP A = 2 BLACK SCARABS. APPROX.20 RESIDUAL BEES. STATION 2 TRAP H = 25 ETOH TRAP B = ONLY ONE SMALL COMB. CELL SIZES SUSPECT. 2 BAGS 25 ETOH. STATION 3 TRAP A = 25 ETOH STAT",NA,NA,NA,33.0771,33
"331005_A","","Unknown",NA,NA,1993,"WEL","Unknown","","TEXAS","USA",NA,NA,NA,NA,NA,NA,NA,NA
"331005_B","","Unknown",NA,NA,1993,"WEL","Unknown","","TEXAS","USA",NA,NA,NA,NA,NA,NA,NA,NA
"331006_A","","Unknown",NA,NA,1993,"WEL","Unknown","","TEXAS","USA",NA,NA,NA,NA,NA,NA,NA,NA
"331006_B","YES","Unknown",NA,NA,1993,"WEL","Unknown","","TEXAS","USA",NA,NA,NA,NA,NA,NA,NA,NA
"331007_A","","Unknown",NA,NA,1993,"WEL","Unknown","","TEXAS","USA",NA,NA,NA,NA,NA,NA,NA,NA
"331007_B","","Unknown",NA,NA,1993,"WEL","Unknown","","TEXAS","USA",NA,NA,NA,NA,NA,NA,NA,NA
"331011_A","","Unknown",26,8,1993,"WEL","WELDER","","TEXAS","USA",NA,NA,"DR. J TEER'S MANAGED COLONIES 1011 COLONY SAMPLED WHILE STILL AT BIG CAKE LOCATION.",NA,"WLR, AC, RG",NA,NA,NA
"331011_B","YES","Unknown",26,8,1993,"WEL","WELDER","","TEXAS","USA",NA,NA,"DR. J TEER'S MANAGED COLONIES 1011 COLONY SAMPLED WHILE STILL AT BIG CAKE LOCATION.",NA,"WLR, AC, RG",NA,NA,NA
"331014_A","","Unknown",NA,NA,1993,"WEL","Unknown","","TEXAS","USA",NA,NA,NA,NA,NA,NA,NA,NA
"331014_B","","Unknown",NA,NA,1993,"WEL","Unknown","","TEXAS","USA",NA,NA,NA,NA,NA,NA,NA,NA
"331016_A","","Unknown",NA,NA,1993,"WEL","Unknown","","TEXAS","USA",NA,NA,NA,NA,NA,NA,NA,NA
"331016_B","","Unknown",NA,NA,1993,"WEL","Unknown","","TEXAS","USA",NA,NA,NA,NA,NA,NA,NA,NA
"331017_A","","Unknown",NA,NA,NA,"WEL","Unknown","","TEXAS","USA",NA,NA,NA,NA,NA,NA,NA,NA
"331017_B","","Unknown",NA,NA,NA,"WEL","Unknown","","TEXAS","USA",NA,NA,NA,NA,NA,NA,NA,NA
"332008_A","YES","Unknown",27,4,1994,"WEL","WELDER","","TEXAS","USA",NA,NA,"NO QUEEN FOUND & NO WEIGHT TAKEN.",NA,"RUBINK, CAVAZOS",NA,NA,NA
